GEOID20,district
12127000242,0
12127000251,0
12061000033,0
12009000239,0
12009000522,0
12009000417,0
12009000315,0
12009000408,0
12061000036,0
12009000118,0
12009000442,0
12009000325,0
12009000215,0
12061000002,0
12127000248,0
12009000506,0
12127000226,0
12127000267,0
12009000425,0
12127000223,0
12009000300,0
12061000003,0
12127000239,0
12009000306,0
12009000210,0
12009000312,0
12127000256,0
12009000109,0
12009000519,0
12009000106,0
12009000240,0
12009000128,0
12061000006,0
12127000224,0
12127000265,0
12061ZZZZZZ,0
12009000420,0
12009000430,0
12009000213,0
12061000023,0
12127000246,0
12061000013,0
12127000264,0
12009000410,0
12009000500,0
12009000435,0
12009000509,0
12009000411,0
12127000229,0
12009000211,0
12009000441,0
12111000031,0
12009000122,0
12009000516,0
12009000419,0
12009000505,0
12009000206,0
12127000211,0
12009000415,0
12127000220,0
12009000127,0
12009000311,0
12009000433,0
12009000308,0
12127000243,0
12009000414,0
12127000225,0
12127000231,0
12009000200,0
12009000313,0
12009000318,0
12127000270,0
12009000225,0
12009000121,0
12009000220,0
12061000016,0
12061000022,0
12009000305,0
12009000202,0
12127000228,0
12009000224,0
12009000320,0
12127000230,0
12009000237,0
12127000232,0
12061000034,0
12127000240,0
12127000257,0
12009000238,0
12009000217,0
12009000123,0
12061000024,0
12009000512,0
12009000223,0
12009000424,0
12009000231,0
12009000212,0
12009000314,0
12009000437,0
12127000235,0
12009000134,0
12009000135,0
12009000105,0
12009000228,0
12097000501,0
12127000260,0
12009000102,0
12127000236,0
12127000234,0
12009000219,0
12009000409,0
12009000116,0
12061000008,0
12061000038,0
12009000130,0
12097000500,0
12009000131,0
12009000208,0
12009000528,0
12009000422,0
12061000020,0
12009000431,0
12061000005,0
12009000515,0
12009000405,0
12009000113,0
12127000237,0
12009000205,0
12009000125,0
12061000012,0
12127000218,0
12127000233,0
12009000234,0
12009000407,0
12061000014,0
12009000316,0
12009000406,0
12009000218,0
12009000120,0
12009000226,0
12009000112,0
12009000115,0
12009000204,0
12061000027,0
12127000219,0
12061000037,0
12009000307,0
12009000229,0
12009000525,0
12127000227,0
12009000304,0
12127000255,0
12009000421,0
12009000317,0
12009000403,0
12009000416,0
12061000007,0
12009000440,0
12061000004,0
12009000323,0
12009000428,0
12127000253,0
12009000203,0
12009000507,0
12009000132,0
12127000252,0
12127000261,0
12009000324,0
12009000111,0
12009000432,0
12009000310,0
12061000011,0
12009000000,0
12009000321,0
12009000527,0
12061000021,0
12061000017,0
12009000438,0
12127000241,0
12009000412,0
12009000518,0
12009000501,0
12009000504,0
12061000032,0
12127000254,0
12009000426,0
12061000025,0
12009000100,0
12009000326,0
12009000236,0
12061000001,0
12061000026,0
12009000427,0
12061000031,0
12009000436,0
12009000502,0
12061000029,0
12127000221,0
12061000015,0
12127000258,0
12061000035,0
12009000529,0
12009000524,0
12009000530,0
12009000302,0
12127000266,0
12009000216,0
12009000429,0
12009000133,0
12009000222,0
12009000319,0
12009000508,0
12009000227,0
12127000263,0
12009000418,0
1209300P-10,0
12127000250,0
12009000328,0
12009000531,0
12061000019,0
12127000217,0
12009000513,0
12009000124,0
12009000309,0
12009000221,0
12061000009,0
12009000114,0
12009000510,0
12009000136,0
12009000327,0
12009000404,0
12009000517,0
12009000214,0
12009000129,0
12009000523,0
12127000259,0
12009000107,0
12009000207,0
12009000235,0
12061000010,0
12009000439,0
12009000230,0
12127000262,0
12061000030,0
12127000244,0
12127000269,0
12127000245,0
12009000103,0
12009000322,0
12009000301,0
12009000201,0
12009000521,0
12009000126,0
12127000238,0
12009000400,0
12009000209,0
12009000303,0
12009000108,0
12127000249,0
12009000520,0
12009000434,0
12127000222,0
12009000233,0
12009000503,0
12127000268,0
12009000511,0
12009000402,0
12033000096,1
12033000140,1
12033000066,1
12033000079,1
12033000005,1
12113000014,1
12033000257,1
12033000208,1
12033000128,1
12113000012,1
12033000008,1
12033000045,1
12091000032,1
12033000077,1
12091000025,1
12033000232,1
12033000083,1
12113000010,1
12033000256,1
12033000057,1
12033000101,1
12131000220,1
12033000026,1
12033000033,1
12033000145,1
12091000080,1
12113000042,1
12033000029,1
12033000265,1
12033000150,1
12033000263,1
12033000238,1
12131000240,1
12033000153,1
12033000112,1
12113000024,1
12033000237,1
12033000103,1
12059000003,1
12033000160,1
12033000023,1
12033000018,1
12033000074,1
12091000050,1
12091000061,1
12131000130,1
12033000067,1
12033000052,1
12033000201,1
12033000136,1
12033000181,1
12113000002,1
12113000029,1
12113000026,1
12033000202,1
12033000082,1
12033000158,1
12091000076,1
12033000124,1
12033000147,1
12033000197,1
12033000062,1
12131000110,1
12033000042,1
12091000038,1
12033000118,1
12033000015,1
12033000030,1
12113000038,1
12033000224,1
12113000004,1
12033000167,1
12033000215,1
12091000067,1
12033000078,1
12033000013,1
12033000113,1
12033000266,1
12091000078,1
12033000261,1
12033000137,1
12033000038,1
12091000042,1
12033000089,1
12113000041,1
12033000002,1
12033000037,1
12033000044,1
12113000021,1
12033000084,1
12033000028,1
12113000003,1
12033000098,1
12033000130,1
12091000008,1
12091000043,1
12033000234,1
12091000021,1
12113000023,1
12033000243,1
12033000069,1
12033000063,1
12113000027,1
12113000028,1
12113000020,1
12033000179,1
12033000108,1
12091000047,1
12091000082,1
12113000039,1
12033000170,1
12033000219,1
12033000183,1
12033000253,1
12033000106,1
12091000036,1
12033000048,1
12033000191,1
12033000173,1
12033000109,1
12091000066,1
12033000020,1
12033000003,1
12033000125,1
12091000070,1
12033000245,1
12131000230,1
12033000135,1
12091000063,1
12091000058,1
12033000073,1
12033000034,1
12033000146,1
12033000213,1
12113000040,1
12033000041,1
12033000221,1
12033000180,1
12033000065,1
12033000087,1
12033000139,1
12033000227,1
12033000210,1
12091000049,1
12033000247,1
12033000159,1
12033000081,1
12033000092,1
12033000195,1
12091000077,1
12033000097,1
12033000022,1
12033000204,1
12033000027,1
12113000009,1
12033000086,1
12033000223,1
12033000004,1
12059000007,1
12033000231,1
12033000226,1
12033000206,1
12033000053,1
12091000034,1
12033000205,1
12059000004,1
12033000240,1
12033000212,1
12033000192,1
12033000250,1
12033000198,1
12033000115,1
12033000166,1
12091000045,1
12033000151,1
12113000019,1
12033000162,1
12033000264,1
12033000102,1
12033000267,1
12113000035,1
12033000032,1
12033000148,1
12091000019,1
12033000049,1
12113000005,1
12033000220,1
12033000061,1
12033000165,1
12033000060,1
12113000032,1
12033000043,1
12091000014,1
12033000007,1
12091000083,1
12033000185,1
12091000004,1
12033000246,1
12091000051,1
12113000036,1
12091000012,1
12113000007,1
12131000210,1
12033000070,1
12091000023,1
12033000235,1
12033000121,1
12033000194,1
12091000052,1
12033000251,1
12033000110,1
12033000117,1
12033000068,1
12033000001,1
12033000122,1
12033000131,1
12113000001,1
12091000054,1
12091000060,1
12033000186,1
12113000030,1
12033000244,1
12033000187,1
12091000071,1
12033000161,1
12033000138,1
12091000020,1
12033000248,1
12033000006,1
12091000001,1
12033000134,1
12033000035,1
12033000025,1
12033000059,1
12033000094,1
12033000207,1
12033000009,1
12033000258,1
12131000120,1
12033000229,1
12033000171,1
12033000047,1
12059000005,1
12033000241,1
12033000149,1
12033000255,1
12113000018,1
12033000259,1
12033000236,1
12091000069,1
12131000310,1
12033000233,1
12033000222,1
12113000037,1
12033000203,1
12091000035,1
12033000164,1
12033000072,1
12091000056,1
12033000039,1
12113000025,1
12033000143,1
12033000193,1
12113000022,1
12033000036,1
12033000172,1
12033000200,1
12033000099,1
12033000176,1
12033000155,1
12033000127,1
12033000091,1
12033000104,1
12091000046,1
12033000190,1
12033000046,1
12033000209,1
12033000085,1
12033000093,1
12091000003,1
12033000174,1
12113000006,1
12033000239,1
12033000249,1
12033000188,1
12033000126,1
12033000016,1
12033000254,1
12033000076,1
12091000005,1
12033000152,1
12133000001,1
12033000058,1
12113000013,1
12033000019,1
12091000027,1
12113000031,1
12033000024,1
12033000100,1
12033000011,1
12033000182,1
12033000116,1
12033000021,1
12113000011,1
12033000107,1
12033000177,1
12091000006,1
12113000016,1
12033000075,1
12091000073,1
12033000175,1
12033000199,1
12033000056,1
12113000033,1
12033000114,1
12033000133,1
12033000054,1
12033000064,1
12091000065,1
12033000051,1
12033000031,1
12033000169,1
12033000163,1
12033000010,1
12033000095,1
12033000142,1
12091000002,1
12091000030,1
12033000040,1
12033000189,1
12033000119,1
12033000228,1
12033000216,1
12059000002,1
12131000410,1
12033000129,1
12033000225,1
12113000008,1
12033000012,1
12033000120,1
12033000252,1
12033000123,1
12033000214,1
12033000260,1
